lat(EPSG:4326),long(EPSG:4326),success
41.7182865,-87.9835116,true
41.7183480,-87.9835092,true
41.7184647,-87.9808911,true
41.7184466,-87.9799416,true
41.7180865,-87.9817115,true
41.7172929,-87.9823525,true
41.7162506,-87.9826100,true
41.7181333,-87.9821353,true
41.7134115,-87.9854169,true
41.7091989,-87.9847373,true
41.7042947,-87.9910932,false
41.7045914,-87.9905708,false
41.7060184,-87.9858937,false 
41.7084165,-87.9865874,true
